Model,Best_Params,Accuracy,Precision,Recall,F1,ROC-AUC,AP
LogisticRegression,"{'classifier__C': 1, 'classifier__solver': 'lbfgs'}",0.7524964336661911,0.5218181818181818,0.7735849056603774,0.6232356134636265,0.844763804539073,0.6403931461276257
RandomForest,"{'classifier__max_depth': 5, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 400}",0.7596291012838802,0.5325670498084292,0.7493261455525606,0.6226203807390818,0.8402448621049357,0.6223203369835195
XGBoost,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.03, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 1.0}",0.7724679029957204,0.5550847457627118,0.706199460916442,0.6215895610913404,0.842856619982693,0.6381236631561404
SVC,"{'classifier__C': 0.3, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'}",0.7617689015691869,0.5362035225048923,0.738544474393531,0.6213151927437641,0.8317154726392872,0.6221858489693343
KNN,"{'classifier__n_neighbors': 11, 'classifier__weights': 'uniform'}",0.7125534950071327,0.4745222929936306,0.8032345013477089,0.5965965965965966,0.8095887331013514,0.532738498328905
